,,NOTES FOR USERS,,,,
,,,This phraseology library is an open project maintained by BIMLab.NET,,,
,,,This does not intend to replace or substitute any standard method of measurement,,,
F,,CONCRETE WORKS,,,,
F1,,,IN-SITU CONCRETE,,,
F1.1,,,,Testing of concrete;,,
F1.1.,nr,,,,[detail],
F1.2,,,,Foundations;,,
,,,,,Screed;,
F1.2.,m2,,,,,Mass concrete
F1.2.,m2,,,,,Reinforcec concrete
,,,,,Column base;,
,,,,,Column and pier on plan <= 0.5 m2;,
,,,,,Column and pier on plan > 0.5 m2;,
,,,,,Strip;,
,,,,,Beams;,
,,,,,Basement walls;,
,,,,,Kerb;,
,,,,,Raft;,
F1.2.,m3,,,,,Mass concrete
F1.2.,m3,,,,,Reinforcec concrete
F1.3,,,,Beds and slabs on ground;,,
,,,,,Thickness <= 150mm;,
,,,,,Thickness 150mm - 300mm;,
,,,,,Thickness > 300mm;,
F1.3.,m3,,,,,Mass concrete
F1.3.,m3,,,,,Reinforce concrete
F1.4,,,,Slabs;,,
,,,,,Thickness <= 150mm;,
,,,,,Thickness 150mm - 300mm;,
,,,,,Thickness > 300mm;,
F1.4.,m3,,,,,Mass concrete
F1.4.,m3,,,,,Reinforced concrete
F1.5,,,,"Slabs to slope <= 15"";",,
,,,,,Thickness ? 150mm;,
,,,,,Thickness 150mm - 300mm;,
,,,,,Thickness > 300mm;,
F1.5.,m3,,,,,
F1.5.,m3,,,,,
F1.6,,,,"slabs to slope > 15"";",,
,,,,,Thickness <= 150mm;,
,,,,,Thickness 150mm - 300mm;,
,,,,,Thickness > 300mm;,
,m3,,,,,Mass concrete
,m3,,,,,Reinforced concrete
F1.7,,,, Coffered and troughed slab,,
,m3,,,"Thickness <= 150mm, Mass Concrete",,
,m3,,,"Thickness > 150mm - >=300mm, Mass Concrete",,
,m3,,,"Thickness > 300mm, Mass Concrete",,
,m3,,,"Thickness <= 150mm, Reinforced concrete",,
,m3,,,"Thickness > 150mm - >=300mm, Reinforced concrete",,
,m3,,,"Thickness > 300mm, Reinforced concrete",,
F1.8,,,, Walls,,
,m3,,,"Thickness <= 150mm, Mass Concrete",,
,m3,,,"Thickness > 150mm - >=300mm, Mass Concrete",,
,m3,,,"Thickness > 300mm, Mass Concrete",,
,m3,,,"Thickness <= 150mm, Reinforced concrete",,
,m3,,,"Thickness > 150mm - >=300mm, Reinforced concrete",,
,m3,,,"Thickness > 300mm, Reinforced concrete",,
F1.9,,,, Filling,,
,m3,,,"Hollow steel members, Mass concrete",,
,m3,,,"Hollow steel members, Reinforced concrete",,
,m3,,,"Concrete blockwork, Mass concrete",,
,m3,,,"Concrete blockwork, Reinforced concrete",,
F1.10,,,, Columns,,
,m3,,,"Sectional area <= 0.1m2, Isolated",,
,m3,,,"Sectional area <= 0.1m2, Attached",,
,m3,,,"Sectional area > 0.1m2, Isolated",,
,m3,,,"Sectional area > 0.1m2, Attached",,
F1.11,,,, Piers,,
,m3,,,"Sectional area <= 0.1m2, Isolated",,
,m3,,,"Sectional area <= 0.1m2, Attached",,
,m3,,,"Sectional area > 0.1m2, Isolated",,
,m3,,,"Sectional area > 0.1m2, Attached",,
F1.12,,,, Beams,,
,m3,,,"Sectional area <= 0.1m2, Isolated",,
,m3,,,"Sectional area <= 0.1m2, Attached",,
,m3,,,"Sectional area > 0.1m2, Isolated",,
,m3,,,"Sectional area > 0.1m2, Attached",,
F1.13,,,, Casing to Steel works,,
,m3,,,Column,,
,m3,,,Beam,,
,m3,,,Lintels,,
